strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV3/PUERTO_RICO/BIDV1615/2004	dengue	FJ373302	2004-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Alvarado et al.	?	?	?	?
DENV3/THAILAND/BIDV2323/2001	dengue	FJ744734	2001-XX-XX	Southeast Asia	Thailand	Kamphaeng Phet	Kamphaeng Phet	?	genome	Alvarado et al.	?	?	?	?
DENV3/BANGLADESH/JACOB/NA	dengue	AY656673	?	South Asia	Bangladesh	Bangladesh	Bangladesh	?	genome	Aaskov et al.	?	?	?	?
DENV3/SPAIN/BIDV3395/2003	dengue	GQ868572	2003-XX-XX	Europe	Spain	Cantabria	Santander	?	genome	Alvarado et al.	?	?	?	?
DENV3/SINGAPORE/12834/2009	dengue	JN030169	2009-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	?	genome	Chua et al.	?	?	?	?
DENV3/MALAYSIA/27834/2003	dengue	FN429910	2003-XX-XX	Southeast Asia	Malaysia	Malaysia	Kuala Lumpur	?	genome	Aw et al.	?	?	?	?
DENV3/PHILIPPINES/ILIPPINES09BTW/2010	dengue	JF968108	2010-XX-XX	Southeast Asia	Philippines	Philippines	Philippines	?	genome	Chang et al.	?	?	?	?
DENV3/GRENADA/CAREC329/2002	dengue	JN379507	2002-XX-XX	North America	Grenada	Grenada	Grenada	?	genome	Allicock et al.	?	?	?	?
DENV3/SINGAPORE/0624/2008	dengue	JN030175	2008-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	?	genome	Chua et al.	?	?	?	?
DENV3/PERU/BIDV7041/2004	dengue	KJ189262	2004-XX-XX	South America	Peru	Peru	Peru	?	genome	Birren et al.	?	?	?	?
DENV3/THAILAND/PYTHIUM/2014	dengue	KT424097	2014-08-28	Southeast Asia	Thailand	Thailand	Thailand	?	genome	Cho et al.	?	?	?	?
DENV3/PUERTO_RICO/BIDV1050/1998	dengue	EU482559	1998-XX-XX	North America	Puerto Rico	Puerto Rico	Puerto Rico	?	genome	Alvarado et al.	?	?	?	?
DENV3/SRI_LANKA/3053/2004	dengue	KX518577	2004-XX-XX	South Asia	Sri Lanka	Sri Lanka	Sri Lanka	?	genome	Andrade et al.	?	?	?	?
DENV3/FRENCH_POLYNESIA/2986/1992	dengue	AY744683	1992-XX-XX	Oceania	French Polynesia	French Polynesia	Tahiti	?	genome	Cassar et al.	?	?	?	?
DENV3/PHILIPPINES/ILIPPINES08ATW/2010	dengue	JF968099	2010-XX-XX	Southeast Asia	Philippines	Philippines	Philippines	?	genome	Chang et al.	?	?	?	?
DENV3/NICARAGUA/BIDV3074/2008	dengue	KF955491	2008-XX-XX	North America	Nicaragua	Nicaragua	Nicaragua	?	genome	Balmaseda et al.	?	?	?	?
DENV3/THAILAND/44/1983	dengue	KJ737430	1983-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	?	genome	Barrett et al.	?	?	?	?
DENV3/INDONESIA/JKTA68/1988	dengue	AB600932	1988-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	?	genome	Konishi et al.	?	?	?	?
DENV3/COLOMBIA/7370MEDELLIN/2006	dengue	HM030555	2006-XX-XX	South America	Colombia	Colombia	Colombia	?	genome	Diaz et al.	?	?	?	?
