strain	virus	genbank_accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV4/ECUADOR/FSE2098/2006	dengue	GQ139572	2006-XX-XX	South America	Ecuador	Ecuador	Ecuador	?	genome	Alava et al.	?	?	?	?
DENV4/BRAZIL/SJRP580/2012	dengue	KP188562	2012-12-10	South America	Brazil	Brazil	Brazil	?	genome	Araujo et al.	?	?	?	?
DENV4/BRAZIL/GUSP0670/2013	dengue	KP704043	2013-03-17	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/INDONESIA/MKS06/2007	dengue	KC762697	2007-12-11	Southeast Asia	Indonesia	Makassar	Makassar	?	genome	Bifani et al.	?	?	?	?
DENV4/FRENCH_POLYNESIA/160119/2009	dengue	JN832537	2009-06-16	Oceania	French Polynesia	French Polynesia	French Polynesia	?	genome	Aaskov et al.	?	?	?	?
DENV4/INDONESIA/07BTW/2008	dengue	JF967764	2008-XX-XX	Southeast Asia	Indonesia	Indonesia	Indonesia	?	genome	Chang et al.	?	?	?	?
DENV4/BRAZIL/GUSP1161/2013	dengue	KP704202	2013-06-07	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/VENEZUELA/BIDV2499/2007	dengue	FJ882590	2007-XX-XX	South America	Venezuela	Aragua	Aragua	?	genome	Alvarado et al.	?	?	?	?
DENV4/THAILAND/AILANDKPPKDS00996NP06SCHOLS08/2004	dengue	JQ993291	2004-XX-XX	Southeast Asia	Thailand	Thailand	Thailand	?	genome	Aldstadt et al.	?	?	?	?
DENV4/BRAZIL/GUSP0693/2013	dengue	KP704053	2013-03-19	South America	Brazil	Brazil	Brazil	?	genome	Balarini et al.	?	?	?	?
DENV4/MYANMAR/MDY76/2013	dengue	KR051895	2013-XX-XX	Southeast Asia	Myanmar	Myanmar	Myanmar	?	genome	Tun et al.	?	?	?	?
